,,74.96,Pb,Ka
,,75.74,Pt,Kb
,,77.1,Bi,Ka
,,77.97,Au,Kb
,,79.3,Po,Ka
,,80.26,Hg,Kb
,,81.53,At,Ka
,,82.56,Tl,Kb
,,83.8,Rn,Ka
,,84.92,Pb,Kb
,,86.12,Fr,Ka
,,87.34,Bi,Kb
,,88.46,Ra,Ka
,,89.81,Po,Kb
,,92.32,At,Kb
,,94.88,Rn,Kb
,,97.48,Fr,Kb
,,100.14,Ra,Kb
